1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1
0 2 2 2 2 2 2 2 2 2 2 2 4 2 4 2 4 2 2 2 2 2 2 2 2 4 2 0
1 4 1 4 1 1 1 1 1 1 1 2 1 2 1 2 1 2 1 1 1 1 1 1 1 1 4 1
1 0 1 2 2 2 1 2 2 2 1 2 1 2 1 2 1 2 1 2 2 2 1 1 2 2 2 1
1 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 1 2 1 2 1
1 4 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 4 2 1 2 1
1 7 4 2 1 2 2 2 1 2 2 2 1 2 1 2 4 2 1 2 1 2 1 2 2 1 2 1
1 4 1 2 1 4 1 1 1 4 1 1 1 2 1 2 1 2 1 2 1 2 1 2 4 1 2 1
1 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 1 2 1 2 1 2 1 2 2 1 2 1
1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 2 1 2 1 2 1 2 1 4 2 1 2 1
1 2 2 2 2 2 2 2 2 2 2 9 2 2 2 2 1 2 1 2 1 2 1 2 2 4 2 1
1 2 1 1 1 1 1 1 1 1 1 2 1 4 1 1 1 2 1 2 1 2 1 2 1 1 2 1
1 2 1 2 2 2 2 2 2 2 1 2 1 4 1 2 2 2 1 2 1 2 1 2 1 2 2 1
1 2 1 2 1 4 1 1 1 2 1 2 1 2 2 2 1 1 1 2 1 2 2 2 1 2 1 1
1 2 1 2 1 2 2 2 1 2 1 2 1 2 1 1 1 2 2 2 1 4 1 1 1 2 1 1
1 2 1 2 2 2 1 2 1 2 4 2 1 2 2 2 1 2 1 1 1 2 2 2 1 2 2 1
1 2 1 1 1 4 1 2 1 2 1 2 1 1 1 2 1 2 1 2 2 2 1 2 2 1 2 1
1 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 1 2 1 2 1 1 1 1 2 1 2 1
1 2 1 1 1 1 1 4 1 2 1 2 1 1 1 1 1 2 1 2 1 0 0 1 2 1 2 1
1 2 2 2 2 2 2 2 2 2 1 2 4 2 2 2 2 2 1 2 1 1 1 1 2 1 2 1
1 1 1 1 1 4 1 1 1 1 1 2 1 1 1 1 1 2 1 2 2 1 2 2 2 1 2 1
0 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 1 2 1 2 1 2 1 2 0
1 1 1 1 1 4 1 1 1 2 1 2 1 2 1 2 1 1 2 1 2 1 2 1 2 1 1 1
0 2 2 2 2 2 2 2 2 2 1 2 1 2 1 2 1 1 2 2 2 2 2 2 2 2 2 0
1 1 1 1 1 1 1 1 1 4 1 2 1 2 1 2 1 0 1 4 4 1 1 1 1 4 1 1
1 8 4 2 2 2 2 2 2 2 2 2 4 2 4 2 1 0 1 5 6 1 2 2 2 2 2 1
1 4 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 2 1 1 1 2 1
1 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 1 2 2 2 1 2 1
1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1
8
